structure_number,latitude,longitude,year_built,hwb_class,material,gmpe_model,sa1s_used,replacement_cost_usd,repair_cost_usd,p_none,p_none,p_slight,p_slight,p_moderate,p_moderate,p_extensive,p_extensive,p_complete,p_complete,predicted_ds,obs
52 0118,34.26333333,-118.735,1968.0,HWB10,steel,ASK14,0.166652274303861,26983474.0175,3.998308452160197e-18,1.0,1.0,0.0,4.939206429249299e-24,0.0,7.591031632736094e-34,0.0,2.3326867559282933e-39,0.0,9.829445838617627e-49,none,none
52 0119,34.28666667,-118.6966667,1935.0,HWB7,concrete,ASK14,0.275519490422495,1351350.0,7.405630483209129e-07,1.0,0.9999999999817327,0.0,1.8267239721431214e-11,0.0,1.5164671385620832e-19,0.0,2.288703950975471e-26,0.0,1.8563838753461607e-37,none,none
52 0120,34.28666667,-118.7233333,1979.0,HWB4,concrete,ASK14,0.284535293283793,1486485.0,2.8786269021447184e-14,1.0,1.0,0.0,6.454664848902393e-19,0.0,1.665964952300655e-23,0.0,1.1898013516099933e-27,0.0,1.4421568748783685e-36,none,none
52 0122,34.27666667,-118.8733333,1952.0,HWB5,concrete,ASK14,0.126847485753516,1351350.0,4.182888489023969e-08,1.0,0.9999999999989683,0.0,1.0317762284286316e-12,0.0,1.4864590206642755e-18,0.0,1.0410159070066631e-23,0.0,2.030300393197226e-34,none,none
52 0123,34.265,-118.7466667,1966.0,HWB5,concrete,ASK14,0.21385253250521,1351350.0,0.20139172420615692,0.0,0.9999950332115587,1.0,4.966261325764585e-06,0.0,5.270219335531519e-10,0.0,9.365983494281188e-14,0.0,5.518016073441765e-22,none,none
52 0124,34.25666667,-118.76,1965.0,HWB7,concrete,ASK14,0.15172862160729,1351350.0,1.6155355857329433e-17,1.0,1.0,0.0,3.9849917630468037e-22,0.0,3.2332427210253816e-33,0.0,4.3814156071680165e-42,0.0,5.586893015484196e-56,none,none
52 0125,34.26666667,-118.76,1999.0,HWB10,steel,ASK14,0.206951784420437,1985733.75,9.674196908348938e-15,1.0,1.0,0.0,1.6239499837953943e-19,0.0,2.199725246684978e-28,0.0,1.9890705492478906e-33,0.0,4.452790624539484e-42,none,none
52 0141,34.18,-118.875,1939.0,HWB5,concrete,ASK14,0.130835690963959,1351350.0,1.2535930761238535e-07,1.0,0.9999999999969078,0.0,3.092183993821656e-12,0.0,5.7571534746402266e-18,0.0,4.8871619764837163e-23,0.0,1.3380794647553471e-33,none,none
52 0148,34.27333333,-118.7783333,1971.0,HWB5,concrete,ASK14,0.244539299586145,1351350.0,3.612666862990559,0.0,0.9999109343488934,1.0,8.903755742861722e-05,0.0,2.8082296146439805e-08,0.0,1.1381754580103752e-11,0.0,2.887890188497131e-19,none,none
52 0150,34.28166667,-118.795,1981.0,HWB6,concrete,ASK14,0.237599980967556,1486485.0,0.034728042673648034,1.0,0.9999992212493296,0.0,7.787505769915119e-07,0.0,9.338695689401045e-14,0.0,6.728989051153064e-17,0.0,3.6431849662917064e-25,none,none
